,Unnamed: 0,symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score,1w_return,consistent
0,112,A/USDT:USDT,0.29358,0.0045165263806199,-0.2738740075684499,37.92926193340239,0.0053877905002654,907572.231886536,1.4637462500271086,Neutral,35.75286314439333,Neutral,5.0,0.367,60.18,19.31,85.0,1w,2025-10-27 14:50:02.700419+00:00,0.4370415098282736,50.22611063884635,41.10820529584832,43.37241446164598,False,False,False,False,False,False,0.50978,-0.4241045156734278,0.50978,0.2932977551020408,bear,0.15968,0.2935328,0,0.29358,0.2847726,0.3023874,0.0088074,0.0088074,1.0,-3.0,3.0,0.23466892,0.36946408,bear,100.0,50.2,high,75,64.01678631443934,0.16690510252741686,1
1,122,BANANA/USDT:USDT,20.86,-0.0066666666666667,-0.1108269394714408,48.089421362148464,0.3233013357605375,76096956.68930002,2.536576445042217,Neutral,48.333333333333286,Neutral,2.46,0.444,66.19,52.87,65.96,1w,2025-10-27 14:50:11.388524+00:00,0.6155277459070051,18.289513045775085,46.55462184873949,55.805183000352464,False,True,False,True,True,True,15.496938775510204,0.3460722986764996,15.496938775510204,22.837040816326528,bear,17.9,22.866,0,20.86,20.2342,21.4858,0.6258,0.6258,1.0,-3.0,3.0,17.13308873,23.18791127,bear,45.0,18.3,high,75,62.29133333333333,-35.61840843720038,1
2,59,MLN/USDT:USDT,8.333,0.5566971791518776,0.1311252884484866,51.826246778569214,0.2068756058317363,1123710.286835,0.9239043341416244,Buy,95.0,MACD Bullish,7.51,0.723,66.24,4.21,68.51,1w,2025-10-27 14:49:10.663881+00:00,0.5954518886185153,33.80995749944876,30.01196376687746,34.83428445676909,False,False,False,True,True,False,10.610479591836736,-0.2146443591097366,10.610479591836736,8.690357142857142,bull,8.450684,20.075864,0,8.333,8.08301,8.957975,0.24999,0.624975,2.5,-3.0,7.5,3.17646996,11.83633004,bull,87.1,33.8,high,60,60.9465,-0.22800912036481613,1
3,16,SOON/USDT:USDT,0.70182,-0.2806862905870777,1.1581844460161754,49.15669389447497,-0.0367891738316529,3530605.625346139,0.2168494598049141,Sell,20.160541308417358,MACD Bearish,8.97,0.637,68.5,4.3,81.97,1w,2025-10-27 14:48:24.740479+00:00,0.1820904769313683,49.63061484566212,10.48231050381024,10.52535957711214,False,True,False,False,True,False,0.1425347959183673,3.923850316535668,0.1425347959183673,0.7550107142857143,bull,0.67509,1.31038424,0,0.70182,0.7228746,0.6491835,0.0210546,0.0526365,2.5,3.0,-7.5,0.63267065,1.01242335,bull,45.0,49.6,high,60,60.77105413084174,0.11683907554644252,1
4,62,EIGEN/USDT:USDT,1.8152,0.2954610333999428,0.3631721237608891,67.31857142048143,0.0381765368080705,1993473.801657,2.759636279795242,Buy,86.90882684040353,MACD Bullish,8.31,0.844,98.17,52.03,38.81,1w,2025-10-27 14:49:15.508045+00:00,1.0633537328061295,28.92504377774248,88.41154740730606,72.03066811242694,True,True,False,True,True,True,1.3907571428571428,0.3051883352336343,1.3907571428571428,1.814208163265306,bull,1.8999,2.1363224,0,1.8152,1.760744,1.95134,0.054456,0.13614,2.5,-3.0,7.5,1.02727398,1.76825602,bull,100.0,28.9,high,60,60.44288268404036,-38.5136624063464,1
5,147,KAITO/USDT:USDT,1.157,-0.0769844435580374,0.0826237484794609,51.728160188051945,0.0080360944231539,2552317.6144815,1.9282359019374895,Neutral,30.401804721157696,Neutral,5.73,0.428,59.83,33.85,73.73,1w,2025-10-27 14:50:41.770285+00:00,0.622044409816758,28.48102790225257,34.948453608247426,30.395189003436418,False,False,False,True,True,False,1.4324673469387754,-0.1923027059063211,1.4324673469387754,1.284469387755102,bull,1.175924,1.693904,0,1.157,1.12229,1.19171,0.03471,0.03471,1.0,-3.0,3.0,0.90228396,1.31176604,bear,80.0,28.5,high,75,59.94018047211578,-0.06050129645634597,1
6,60,QTUM/USDT:USDT,2.483,-0.0427910562837315,0.1966265060240963,45.521515942789605,-0.0437509689531315,1249203.58029,0.1842685581549795,Weak Sell,19.812451552343425,MACD Bearish,6.59,0.524,66.17,2.68,79.59,1w,2025-10-27 14:49:11.104942+00:00,0.1675723542563456,19.884969834179863,19.507186858316256,12.36851018120548,False,True,False,False,False,True,3.0857755102040816,-0.1953400395494798,3.0857755102040816,2.3735,bull,2.541786,3.897256,0,2.483,2.55749,2.41689089,0.07449,0.06610911,0.89,3.0,-2.66,2.40486656,2.87113344,bull,45.0,19.9,high,60,58.72074515523435,-19.08981071284737,1
7,0,CRO/USDT:USDT,0.23758,-0.089278184536359,0.602779464345949,50.89664056792431,-0.0080554797714588,2408203.69705915,0.2129552091689686,Weak Sell,21.59722601142706,MACD Bearish,8.81,0.511,59.26,4.12,80.31,1w,2025-10-27 14:48:11.191537+00:00,0.1823007680047332,47.66184336135996,22.710812209001585,15.244740953894985,False,True,False,False,True,True,0.102238775510204,1.3237758748028827,0.102238775510204,0.2589404081632652,bull,0.2238593,0.4607328,0,0.23758,0.2447074,0.22487701,0.0071274,0.01270299,1.78,3.0,-5.35,0.22375822,0.29957678,bull,80.0,47.7,high,60,57.74772260114271,-37.2337738866908,1
8,75,ERA/USDT:USDT,0.34404,-0.11875,-0.3857086740706352,31.016741632802702,0.0043497269027636,591740.9396381554,1.4078320824174682,Neutral,25.21748634513818,Neutral,5.0,0.572,63.64,16.4,73.5,1w,2025-10-27 14:49:25.573953+00:00,0.2788627404193073,54.26359566459574,15.665185877951844,13.515680067486208,False,False,False,False,False,False,0.7320819387755102,-0.5300526050738995,0.7320819387755102,0.3339839795918367,bear,0.27492,0.2749199999999999,0,0.34404,0.3337188,0.3543612,0.0103212,0.0103212,1.0,-3.0,3.0,0.2843815,0.4983165,bear,100.0,54.3,high,75,57.64174863451382,0.02615974886640477,1
9,129,BNB/USDT:USDT,990.15,0.1077857710251619,0.1691601034372822,76.00437510867519,8.227034304392522,499345105.1379,2.4378450877596847,Buy,85.0,Overbought,8.97,0.93,104.86,49.98,29.97,1w,2025-10-27 14:50:23.973446+00:00,1.1338405537655485,37.16909842499145,96.45880452342487,89.59875218062486,True,True,False,True,True,True,648.4057142857143,0.5270531677697383,648.4057142857143,989.800612244898,bull,995.63,1067.93576,0,990.15,960.4455,1064.41125,29.7045,74.26125,2.5,-3.0,7.5,808.65678196,968.72621804,bull,100.0,37.2,medium,60,57.197,14.573549462202703,1
