symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score
BANANA/USDT:USDT,20.86,-0.00666666666666671,-0.11082693947144084,48.089421362148464,0.32330133576053754,76096956.68930002,2.536576445042217,Neutral,48.333333333333286,Neutral,2.46,0.444,66.19,52.87,65.96,1h,2025-10-27 14:45:11.235373+00:00,0.6155277459070051,18.289513045775085,46.554621848739494,55.805183000352464,False,True,False,True,True,True,15.496938775510204,0.34607229867649963,15.496938775510204,22.837040816326528,bear,17.9,22.866,0,20.86,20.2342,21.4858,0.6258,0.6258,1.0,-3.0,3.0,17.13308873,23.18791127,bear,45.0,18.3,high,75,62.29133333333333
MLN/USDT:USDT,8.333,0.5566971791518776,0.1311252884484866,51.826246778569214,0.2068756058317363,1123710.286835,0.9239043341416244,Buy,95.0,MACD Bullish,7.51,0.723,66.24,4.21,68.51,1h,2025-10-27 14:43:57.630676+00:00,0.5954518886185153,33.80995749944876,30.01196376687746,34.83428445676909,False,False,False,True,True,False,10.610479591836736,-0.2146443591097366,10.610479591836736,8.690357142857142,bull,8.450684,20.075864,0,8.333,8.08301,8.957975,0.24999,0.624975,2.5,-3.0,7.5,3.17646996,11.83633004,bull,87.1,33.8,high,60,60.9465
SOON/USDT:USDT,0.70384,-0.278615939652345,1.1643961991451155,49.300250184747604,-0.03666026215074124,3530604.6303137345,0.21618023352786292,Sell,20.166986892462937,MACD Bearish,8.97,0.636,68.41,4.3,81.97,1h,2025-10-27 14:43:02.992987+00:00,0.18672304010423746,49.630614845662116,10.964859893456932,10.686209373661038,False,True,False,False,True,False,0.14253479591836737,3.9380222945918675,0.14253479591836737,0.7550107142857143,bull,0.67509,1.3103842399999999,0,0.70384,0.7249552,0.651052,0.0211152,0.052788,2.5,3.0,-7.5,0.63302665,1.01226935,bull,45.0,49.6,high,60,60.7491986892463
EIGEN/USDT:USDT,1.8152,0.2954610333999428,0.36317212376088914,67.31857142048143,0.03817653680807058,1993473.8016569999,2.759636279795242,Buy,86.90882684040353,MACD Bullish,8.31,0.844,98.17,52.03,38.81,1h,2025-10-27 14:44:07.112203+00:00,1.0633537328061295,28.92504377774248,88.41154740730606,72.03066811242694,True,True,False,True,True,True,1.3907571428571428,0.3051883352336343,1.3907571428571428,1.814208163265306,bull,1.8999,2.1363224,0,1.8152,1.760744,1.95134,0.054456,0.13614,2.5,-3.0,7.5,1.02727398,1.76825602,bull,100.0,28.9,high,60,60.442882684040356
A/USDT:USDT,0.29397,0.005850954629439409,-0.2729094012020479,38.028939143828445,0.005412679389154351,907549.3180584966,1.4570236881513783,Neutral,34.419679340018305,Neutral,5.0,0.368,60.09,19.08,77.5,1h,2025-10-27 14:45:27.104103+00:00,0.4397815403565523,50.22611063884635,41.7456685191239,43.584902202737844,False,False,False,False,False,False,0.50978,-0.42333947977558944,0.50978,0.2866671428571429,bear,0.15968,0.2935328,0,0.29397,0.2851509,0.3027891,0.0088191,0.0088191,1.0,-3.0,3.0,0.23469803,0.36947397,bear,100.0,50.2,high,75,60.07646793400183
KAITO/USDT:USDT,1.157,-0.07698444355803746,0.08262374847946097,51.728160188051945,0.008036094423153941,2552317.6144815,1.9282359019374897,Neutral,30.401804721157696,Neutral,5.73,0.428,59.83,33.85,73.73,1h,2025-10-27 14:44:45.919359+00:00,0.622044409816758,28.48102790225257,34.948453608247426,30.395189003436418,False,False,False,True,True,False,1.4324673469387754,-0.19230270590632112,1.4324673469387754,1.2844693877551019,bull,1.175924,1.693904,0,1.157,1.12229,1.19171,0.03471,0.03471,1.0,-3.0,3.0,0.90228396,1.31176604,bear,80.0,28.5,high,75,59.94018047211578
QTUM/USDT:USDT,2.483,-0.04279105628373159,0.19662650602409637,45.521515942789605,-0.04375096895313152,1249203.58029,0.18426855815497953,Weak Sell,19.812451552343425,MACD Bearish,6.59,0.524,66.17,2.68,79.59,1h,2025-10-27 14:43:58.059817+00:00,0.1675723542563456,19.884969834179866,19.507186858316256,12.36851018120548,False,True,False,False,False,True,3.0857755102040816,-0.1953400395494798,3.0857755102040816,2.3735,bull,2.541786,3.897256,0,2.483,2.55749,2.41689089,0.07449,0.06610911,0.89,3.0,-2.66,2.40486656,2.87113344,bull,45.0,19.9,high,60,58.72074515523435
CRO/USDT:USDT,0.23758,-0.08927818453635905,0.602779464345949,50.89664056792431,-0.0080554797714588,2408203.69705915,0.2129552091689686,Weak Sell,21.59722601142706,MACD Bearish,8.81,0.511,59.26,4.12,80.31,1h,2025-10-27 14:43:20.501001+00:00,0.18230076800473327,47.661843361359956,22.710812209001585,15.244740953894983,False,True,False,False,True,True,0.10223877551020408,1.3237758748028827,0.10223877551020408,0.25894040816326525,bull,0.2238593,0.46073280000000005,0,0.23758,0.2447074,0.22487701,0.0071274,0.01270299,1.78,3.0,-5.35,0.22375822,0.29957678,bull,80.0,47.7,high,60,57.747722601142705
ERA/USDT:USDT,0.3441,-0.11859631147540983,-0.3856015426918544,31.02443507205193,0.004353555962592653,591717.5874470874,1.3994907773390992,Neutral,25.217677798129632,Neutral,5.0,0.571,63.58,16.12,73.5,1h,2025-10-27 14:44:19.322337+00:00,0.2791182235554912,54.26359566459574,15.711947626841253,13.53126731711601,False,False,False,False,False,False,0.7320819387755102,-0.5299706470350216,0.7320819387755102,0.3339839795918367,bear,0.27492,0.27491999999999994,0,0.3441,0.333777,0.354423,0.010323,0.010323,1.0,-3.0,3.0,0.2843898,0.4983142,bear,100.0,54.3,high,75,57.58476777981296
BNB/USDT:USDT,990.15,0.10778577102516196,0.16916010343728227,76.00437510867519,8.227034304392522,499345105.13789994,2.4378450877596847,Buy,85.0,Overbought,8.97,0.93,104.86,49.98,29.97,1h,2025-10-27 14:45:17.649764+00:00,1.1338405537655485,37.16909842499145,96.45880452342487,89.59875218062486,True,True,False,True,True,True,648.4057142857143,0.5270531677697383,648.4057142857143,989.8006122448979,bull,995.63,1067.93576,0,990.15,960.4455,1064.41125,29.7045,74.26125,2.5,-3.0,7.5,808.65678196,968.72621804,bull,100.0,37.2,medium,60,57.197
