symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score
BNB/USDT:USDT,990.15,0.10778577102516196,0.16916010343728227,76.00437510867519,8.227034304392522,499345105.13789994,2.4378450877596847,Buy,85.0,Overbought,8.97,0.93,104.86,49.98,29.97,daily,2025-10-27 15:09:04.210002+00:00,1.1338405537655485,37.16909842499145,96.45880452342487,89.59875218062486,True,True,False,True,True,True,648.4057142857143,0.5270531677697383,648.4057142857143,989.8006122448979,bull,995.63,1067.93576,0,990.15,960.4455,1064.41125,29.7045,74.26125,2.5,-3.0,7.5,808.65678196,968.72621804,bull,100.0,37.2,medium,60,57.197
KSM/USDT:USDT,16.053,0.021378125596487996,0.0936031064786429,54.365751973345006,0.031957874842651834,17734057.81304,0.7274025424555911,Weak Buy,83.5978937421326,Neutral,6.14,0.45,75.19,17.6,54.14,daily,2025-10-27 15:09:42.184037+00:00,0.7745603626857764,14.234317979785564,55.007704160246554,43.303626208987396,True,True,False,True,True,False,15.854500000000002,0.012520104702134991,15.854500000000002,15.835081632653061,bull,15.893024,18.880496,0,16.053,15.57141,16.40994597,0.48159,0.35694597,0.74,-3.0,2.22,14.54329199,16.49240801,bull,45.0,14.2,high,60,56.86728937421326
API3/USDT:USDT,0.9547,-0.03643520387565602,0.09836631385181782,43.8856683380287,-0.016399372483538524,11495859.194618002,0.6416287432438964,Weak Sell,21.180031375823074,MACD Bearish,3.07,0.354,57.52,3.32,79.57,daily,2025-10-27 15:09:39.496265+00:00,0.21992918715922924,25.861800733068247,20.8181449979749,13.194559793580694,False,False,False,False,False,True,1.3667938775510207,-0.3015040411868085,1.3667938775510207,0.8467428571428571,bull,0.882768,2.0592639999999998,0,0.9547,0.983341,0.91330199,0.028641,0.04139801,1.45,3.0,-4.34,0.9087582,1.1176518,bull,45.0,25.9,high,60,56.7810031375823
ENA/USDT:USDT,0.71,-0.08857509627727866,0.047970479704797064,49.804820891593856,-0.008007877963696144,14084730.2571725,0.6879101646241316,Sell,21.599606101815194,MACD Bearish,6.42,0.433,63.98,2.11,75.92,daily,2025-10-27 15:10:42.492166+00:00,0.4581802650584865,17.722917301285,29.879621668099745,28.283262370626442,True,True,False,False,True,True,0.3722918367346939,0.9071060118515755,0.3722918367346939,0.7378571428571428,bull,0.7171676,0.9841304,0,0.71,0.7313,0.65675,0.0213,0.05325,2.5,3.0,-7.5,0.61183354,0.82608646,bull,90.7,17.7,high,60,56.43146061018152
TIA/USDT:USDT,1.7867,0.014363574429431036,0.02589572806614604,53.61979874668462,0.00986193428678879,3894868.9399019997,1.7828015606770509,Weak Buy,87.8045351768435,Lagging,2.97,0.227,55.97,47.75,52.47,daily,2025-10-27 15:10:44.863363+00:00,0.7489538267416462,16.97238288418593,62.07414829659319,47.5367401469606,False,False,False,True,True,False,1.7806153061224488,0.0034171861022589357,1.7806153061224488,1.6172642857142858,bear,1.5018,1.7375322,20,1.7867,1.733099,1.87359766,0.053601,0.08689766,1.62,-3.0,4.86,1.49936728,1.88301272,bear,45.0,17.0,high,75,56.17045351768435
DASH/USDT:USDT,24.02,-0.02555780933062879,0.08344609833107786,51.52353081140118,-0.12958869927353822,14545810.74865,0.2877037562647716,Weak Sell,15.520565036323088,MACD Bearish,5.98,0.43,62.98,14.9,72.48,daily,2025-10-27 15:10:12.677524+00:00,0.49059717160296484,12.236380352344554,44.055944055943996,33.282963093688636,False,True,False,False,True,True,23.54795918367347,0.020045933180222693,23.54795918367347,23.619999999999997,bull,24.246480000000002,27.20304,0,24.02,24.7406,22.67188173,0.7206,1.34811827,1.87,3.0,-5.61,22.5590863,25.5369137,bull,100.0,12.2,high,60,55.77205650363231
FORM/USDT:USDT,1.0778,-0.04272137845279311,-0.5963144687066931,41.079823681426824,0.05663124319235957,541242.015271,0.9992996987745414,Neutral,27.831562159617977,Neutral,2.98,0.616,61.91,3.81,73.48,daily,2025-10-27 15:11:14.952736+00:00,0.4742929898451875,24.724896198399527,58.316137020222875,48.36749667537949,False,False,False,False,False,False,1.3812530612244898,-0.21969403706188104,1.3812530612244898,1.3916734693877553,bear,0.23,1.76946,0,1.0778,1.045466,1.110134,0.032334,0.032334,1.0,-3.0,3.0,0.7769736,1.4112364,bear,100.0,24.7,high,75,55.5721562159618
ETHFI/USDT:USDT,1.6026,0.22457400473752576,0.43229957994458834,68.68637332517272,0.0363810470540481,2863385.1908809994,1.3149687314385383,Buy,86.8190523527024,MACD Bullish,8.45,0.754,91.46,12.83,43.95,daily,2025-10-27 15:10:54.564503+00:00,0.951869407368128,30.67316613096934,87.64176117411608,80.49896946639706,True,True,False,True,True,True,1.2294612244897958,0.30349779893631873,1.2294612244897958,1.5693000000000001,bull,1.6767,1.8876088000000002,0,1.6026,1.554522,1.6299473,0.048078,0.0273473,0.57,-3.0,1.71,0.89977201,1.63813799,bull,100.0,30.7,high,60,55.44640523527025
AAVE/USDT:USDT,306.1,0.01955167704759675,0.060931651185359925,49.28144211478581,-1.0384271831770708,611737574.9956,0.8762085622793451,Neutral,75.0,Moderate Uptrend,1.95,0.4,54.38,1.73,67.95,daily,2025-10-27 15:08:49.006627+00:00,0.43312488927849446,8.534691529839147,39.03832420852187,24.717341438982487,False,True,False,False,False,True,322.2617346938776,-0.05015095791385195,322.2617346938776,290.72642857142864,bull,298.79526,424.22296,0,306.1,296.917,315.283,9.183,9.183,1.0,-3.0,3.0,290.99327654,325.87172346,ranging,58.3,8.5,high,80,55.3295
JTO/USDT:USDT,2.052,0.08399366085578452,0.21133412042502964,59.11931193726936,0.006720904179054006,629591.245445,3.7018619055485145,Buy,90.3360452089527,Consistent Uptrend,6.9,0.622,69.92,52.14,41.9,daily,2025-10-27 15:09:20.489483+00:00,1.0591293237817343,11.259997984311687,72.87234042553195,35.69762424830786,False,True,False,True,True,False,1.9416530612244898,0.05683143965272599,1.9416530612244898,1.9187244897959181,bull,2.023256,2.304688,0,2.052,1.99044,2.2059,0.06156,0.1539,2.5,-3.0,7.5,1.75128821,2.03521179,bull,82.9,11.3,high,60,55.28460452089527
