,Unnamed: 0,symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score,5m_return,consistent
0,88,BANANA/USDT:USDT,20.86,-0.0066666666666667,-0.1108269394714408,48.089421362148464,0.3233013357605375,76096956.68930002,2.536576445042217,Neutral,48.333333333333286,Neutral,2.46,0.444,66.19,52.87,65.96,5m,2025-10-27 14:41:36.441324+00:00,0.6155277459070051,18.289513045775085,46.55462184873949,55.805183000352464,False,True,False,True,True,True,15.496938775510204,0.3460722986764996,15.496938775510204,22.837040816326528,bear,17.9,22.866,0,20.86,20.2342,21.4858,0.6258,0.6258,1.0,-3.0,3.0,17.13308873,23.18791127,bear,45.0,18.3,high,75,62.29133333333333,-35.61840843720038,1
1,110,MLN/USDT:USDT,8.333,0.5566971791518776,0.1311252884484866,51.826246778569214,0.2068756058317363,1123710.286835,0.9239043341416244,Buy,95.0,MACD Bullish,7.51,0.723,66.24,4.21,68.51,5m,2025-10-27 14:42:06.674505+00:00,0.5954518886185153,33.80995749944876,30.01196376687746,34.83428445676909,False,False,False,True,True,False,10.610479591836736,-0.2146443591097366,10.610479591836736,8.690357142857142,bull,8.450684,20.075864,0,8.333,8.08301,8.957975,0.24999,0.624975,2.5,-3.0,7.5,3.17646996,11.83633004,bull,87.1,33.8,high,60,60.9465,-0.22800912036481613,1
2,8,SOON/USDT:USDT,0.70444,-0.2780009839291572,1.166241274331929,49.34273464121367,-0.0366219715524506,3530604.079309684,0.2159701690865558,Sell,20.168901422377463,MACD Bearish,8.97,0.636,68.38,4.3,81.97,5m,2025-10-27 14:40:18.680498+00:00,0.188102637725493,49.63061484566212,11.108191395332168,10.733986540952785,False,True,False,False,True,False,0.1425347959183673,3.9422317930244017,0.1425347959183673,0.7550107142857143,bull,0.67509,1.31038424,0,0.70444,0.7255732,0.651607,0.0211332,0.052833,2.5,3.0,-7.5,0.63313167,1.01222433,bull,45.0,49.6,high,60,60.74189014223775,-0.4571006757140425,1
3,35,EIGEN/USDT:USDT,1.8152,0.2954610333999428,0.3631721237608891,67.31857142048143,0.0381765368080705,1993473.801657,2.759636279795242,Buy,86.90882684040353,MACD Bullish,8.31,0.844,98.17,52.03,38.81,5m,2025-10-27 14:40:51.082245+00:00,1.0633537328061295,28.92504377774248,88.41154740730606,72.03066811242694,True,True,False,True,True,True,1.3907571428571428,0.3051883352336343,1.3907571428571428,1.814208163265306,bull,1.8999,2.1363224,0,1.8152,1.760744,1.95134,0.054456,0.13614,2.5,-3.0,7.5,1.02727398,1.76825602,bull,100.0,28.9,high,60,60.44288268404036,-38.60180696342,1
4,67,A/USDT:USDT,0.29419,0.0066037090262094,-0.2723652642774109,38.08539877861358,0.0054267192751942,907521.5624121568,1.4501475937056776,Neutral,33.667626937550274,Neutral,5.0,0.369,60.01,18.85,77.5,5m,2025-10-27 14:41:20.294402+00:00,0.441327707534221,50.22611063884635,42.10526315789474,43.704767082328125,False,False,False,False,False,False,0.50978,-0.4229079210639884,0.50978,0.2866671428571429,bear,0.15968,0.2935328,0,0.29419,0.2853643,0.3030157,0.0088257,0.0088257,1.0,-3.0,3.0,0.23471426,0.36947974,bear,100.0,50.2,high,75,59.94676269375503,-0.07818076753119003,1
5,143,KAITO/USDT:USDT,1.157,-0.0769844435580374,0.0826237484794609,51.728160188051945,0.0080360944231539,2552317.6144815,1.9282359019374895,Neutral,30.401804721157696,Neutral,5.73,0.428,59.83,33.85,73.73,5m,2025-10-27 14:42:37.615393+00:00,0.622044409816758,28.48102790225257,34.948453608247426,30.395189003436418,False,False,False,True,True,False,1.4324673469387754,-0.1923027059063211,1.4324673469387754,1.284469387755102,bull,1.175924,1.693904,0,1.157,1.12229,1.19171,0.03471,0.03471,1.0,-3.0,3.0,0.90228396,1.31176604,bear,80.0,28.5,high,75,59.94018047211578,-0.25064822817632887,1
6,128,MYX/USDT:USDT,2.8167,-0.0011702127659574,-0.8042945829613237,38.1562799342876,0.200066215848117,1764089.6998975002,0.291842665451728,Neutral,40.82978723404258,Neutral,2.7,0.446,63.3,19.42,72.7,5m,2025-10-27 14:42:21.614941+00:00,0.3582858593644081,21.30320627807911,17.772255897820298,25.286191199706536,False,True,False,False,False,False,0.2195132653061224,11.831570775788736,0.2195132653061224,1.2712614285714283,bear,1.07064,1.070640000000001,0,2.8167,2.732199,2.901201,0.084501,0.084501,1.0,-3.0,3.0,1.77952043,4.67435857,bear,100.0,21.3,high,75,59.170978723404254,-1.5638868179074776,1
7,111,QTUM/USDT:USDT,2.483,-0.0427910562837315,0.1966265060240963,45.521515942789605,-0.0437509689531315,1249203.58029,0.1842685581549795,Weak Sell,19.812451552343425,MACD Bearish,6.59,0.524,66.17,2.68,79.59,5m,2025-10-27 14:42:07.130055+00:00,0.1675723542563456,19.884969834179863,19.507186858316256,12.36851018120548,False,True,False,False,False,True,3.0857755102040816,-0.1953400395494798,3.0857755102040816,2.3735,bull,2.541786,3.897256,0,2.483,2.55749,2.41689089,0.07449,0.06610911,0.89,3.0,-2.66,2.40486656,2.87113344,bull,45.0,19.9,high,60,58.72074515523435,,1
8,9,CRO/USDT:USDT,0.23758,-0.089278184536359,0.602779464345949,50.89664056792431,-0.0080554797714588,2408203.69705915,0.2129552091689686,Weak Sell,21.59722601142706,MACD Bearish,8.81,0.511,59.26,4.12,80.31,5m,2025-10-27 14:40:19.108755+00:00,0.1823007680047332,47.66184336135996,22.710812209001585,15.244740953894985,False,True,False,False,True,True,0.102238775510204,1.3237758748028827,0.102238775510204,0.2589404081632652,bull,0.2238593,0.4607328,0,0.23758,0.2447074,0.22487701,0.0071274,0.01270299,1.78,3.0,-5.35,0.22375822,0.29957678,bull,80.0,47.7,high,60,57.74772260114271,-37.1117097398771,1
9,42,ERA/USDT:USDT,0.34519,-0.1158043032786886,-0.3836553226440025,31.1648666828235,0.0044231172161539,591712.4784762136,1.393306027392072,Neutral,25.22115586080769,Neutral,5.0,0.57,63.5,15.91,73.5,5m,2025-10-27 14:40:57.153423+00:00,0.2837660778757135,54.26359566459574,16.561452731665494,13.814435685390755,False,False,False,False,False,False,0.7320819387755102,-0.5284817426620724,0.7320819387755102,0.3339839795918367,bear,0.27492,0.2749199999999999,0,0.34519,0.3348343,0.3555457,0.0103557,0.0103557,1.0,-3.0,3.0,0.2845396,0.4982734,bear,100.0,54.3,high,75,57.53361558608077,-0.5214519539963568,1
